api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/748778,Zedd,Addicted to a Memory,https://genius.com/Zedd-addicted-to-a-memory-lyrics,http://api.genius.com/songs/748778,True Colors,2015-04-14,"[Click here to read Zedd’s story about “Addicted to Memory”]   We are, we are a violent chemistry Love has taken us as far as we can reach But I can't leave We are, we are imagined ecstasy Holding on to what we used to be Addicted to a memory Holding on to what we used to be Addicted to a memory A memory   We are, we are in love enemies We are sentimental slaves on broken knees We're on empty We were, we were one identity Now the trouble is remembering Addicted to a memory"
/songs/1790861,Zedd,Beautiful Now,https://genius.com/Zedd-beautiful-now-lyrics,http://api.genius.com/songs/1790861,True Colors,2015-05-14,"[Click here to see Zedd’s inspiration for “Beautiful Now”]   I see what you're wearing, there's nothing beneath it Forgive me for staring, forgive me for breathing We might not know why, we might not know how But baby, tonight, we're beautiful now   We're beautiful now We're beautiful now   We might not know why, we might not know how But baby, tonight, we're beautiful now We'll light up the sky, we'll open the clouds 'Cause baby, tonight, we're beautiful now We're beautiful We're beautiful We're beautiful   Wherever it's going, I'm gonna chase it What's left of this moment, I'm not gonna waste it Stranded together, our worlds have collided This won't be forever, so why try to fight it?   We're beautiful now We're beautiful now   We might not know why, we might not know how But baby, tonight, we're beautiful now We'll light up the sky, we'll open the clouds 'Cause baby, tonight, we're beautiful now We're beautiful (We're beautiful) We're beautiful   Let's live tonight like fireflies And one by one light up the sky We disappear and pass the crown You're beautiful, you're beautiful   We're beautiful now We're beautiful now (beautiful) We're beautiful now We're beautiful now We're beautiful We're beautiful, we're beautiful now We're beautiful now, we're beautiful now We're beautiful now, we're beautiful now We're beautiful"
/songs/2429367,Zedd,Candyman,https://genius.com/Zedd-candyman-lyrics,http://api.genius.com/songs/2429367,Stay +,2016-02-25, Living for tomorrow Lost within a dream Tryna find the answer to the question And it seems that love makes the world feel good   Singing in the moonlight Dancing in the rain Let the sunshine through to lift your spirit once again Cause love makes the world feel good   Chasing after rainbows Somewhere in the sky   And it feels so good Oh yeah And it feels so good Oh yeah And it feels so good Oh yeah And it feels so good Oh yeah And it feels so good   Riding on the river Of hearts that beat as one This feels like forever and we've only just begun Cause love makes the world feel good   Holding on the memories Cause smiles are still alive Looking to the future and there's happiness in sight Cause love makes the world feel good   Walking through my past life Where the days are full of joy   And it feels so good Oh yeah And it feels so good Oh yeah And it feels so good Oh yeah And it feels so good Oh yeah And it feels so good   The Candyman can cause he mixes it with love and makes the world taste good
/songs/1791119,Zedd,Daisy,https://genius.com/Zedd-daisy-lyrics,http://api.genius.com/songs/1791119,True Colors,2015-05-19," Daisy, always climbing up the same tree Finding love in all the wrong scenes, Daisy, you got me Daisy, always walking down the wrong streets Starting fires out of dead weeds, Daisy, you got me   Let me show you how a kiss should taste Trust me, I won't give your heart away Why you running, running when you got it right here? Oh, I would love you if you let me   Daisy, always dancing to the same beat Broken record stuck on repeat, Daisy, you got me Daisy, don't you know that you're amazing? Broken hearts just keeps on breaking, Daisy And I would take the light out of the stars to help you see Anything to guide you straight to me   Let me show you how a kiss should taste Trust me, I won't give your heart away Why you running, running when you got it right here? Oh, I would love you if you let me Let me show you how a kiss should taste Trust me, I won't give your heart away Why you running, running when you got it right here? Oh, I would love you if you let me   I won't give your heart away Why you running, running when you got it right here?  [Instrumental leading into next song, ""Illusion""]"
/songs/1790926,Zedd,Done with Love,https://genius.com/Zedd-done-with-love-lyrics,http://api.genius.com/songs/1790926,True Colors,2015-05-19," Baby, if you're done with love, who's gonna hold you tonight? Are you done with love so they can't hurt you tomorrow? You don't wanna keep on swimming in the ocean you've cried But I won't let you drown, I'll pull you back to the shallow   'Cause all I ever really wanted In this short life was you Tell me who took your heart away And do you know it breaks mine when I hear you say That you're done with love? Oh, you were done with love   Give me one night to mend the pain Because the second we touch, you'll forget the day You were done with love Oh, you were done with love If you're done with love...   Give me one night to mend the pain Because the second we touch, you'll forget the day You were done with love Oh, you were done with love If you're done with love...   All I ever really wanted In this short life was you All I ever really wanted In this short life was you   Give me one night to mend the pain Because the second we touch, you'll forget the day You were done with love Oh, you were done with love If you're done with love...  Give me one night to mend the pain Because the second we touch, you'll forget the day You were done with love Oh, you were done with love   You think you're done with love You think you're done with love You think you're done with love You think you're done with love"
/songs/342833,Zedd,Follow You Down,https://genius.com/Zedd-follow-you-down-lyrics,http://api.genius.com/songs/342833,Clarity,2012-10-05," Fading, so slow, black hole I feel it slipping away We’re all we’ve got If you’re lost I’m diving in after you I would touch the sun I’d come undone It’s true, I’d fall for you Wherever you go, whatever you do You know I’ll follow you down Wherever you go, if ever you lose your ground I’ll follow you down I’ll follow you Down You’re lost, worn out, face down Don’t know where you’re headed to Right here, right now, somehow I I’ll light the way up for you I would touch the sun I’d come undone It’s true, I’d fall for you   Wherever you go Whatever you do You'd know I'll follow you down Wherever you go If ever you lose your ground I'll follow you down I'll follow you down I'll follow you Down   You're lost Worn out Face down Don't know where you're headed to Right here Right now Somehow I'd light the way up for you I would touch the sun I'd come undone It's true I'd fall for you     Wherever you go Whatever you do Wherever you go Whatever you do  "
/songs/342827,Zedd,Hourglass,https://genius.com/Zedd-hourglass-lyrics,http://api.genius.com/songs/342827,Clarity,2012-10-02," Just an outline made of skin And my walls are paper thin I wanna let you color me in (me in, me in) Feel like I’m drowning from the sound Of all the silence all around My thoughts are bound, I’m going down I’m turning inside out   This time I finally need a light, a light Tired of seeing in black and white, white   Having flashes in my mind Can’t take the ticking of time The time that’s passing by   This time I finally need a light, a light Tired of seeing in black and white, white   Having flashes in my mind Can’t take the ticking of time The time that’s passing by This time I finally need a light, a light Tired of seeing in black and white, white Having flashes in my mind Can’t take the ticking of time The time that’s passing by"
/songs/2867238,Zedd,Ignite,https://genius.com/Zedd-ignite-lyrics,http://api.genius.com/songs/2867238,Stay +,2016-09-26," There's a fire that burns inside It's an instinct that never lies The target's tattooed between our eyes   Stand and fight Under the lights on the high stage A part of your life it can take away Just like the blood running through your veins   Everyone's watching through your eyes There's only two options Win or die, win or die Win or die, die, die, die, die It went from a spark to an open flame Now destiny's calling out your name So reply, so reply   And ignite Ignite Ignite Ignite   There's a power that's underneath And you can't see it 'til you believe On the edge of infinity   Feel the rush Under the lights on the high stage A part of your life it can take away Just like the blood running through your veins   Everyone's watching through your eyes There's only two options Win or die, win or die Win or die, die, die, die, die It went from a spark to an open flame Now destiny's calling out your name So reply, so reply   And ignite Ignite Ignite Ignite   It went from a spark to an open flame Now destiny's calling out your name So ignite, so ignite"
/songs/1791124,Zedd,Illusion,https://genius.com/Zedd-illusion-lyrics,http://api.genius.com/songs/1791124,True Colors,2015-05-19,"[Click here to read about Zedd's production on ""Illusion""]   It feels like the fairy tale is over, I really wanted these pages to begin With ""Once upon a time"" like all those lullabies I should have known better, I'll admit it, I thought when I let you in You were my shining knight from all those stories   This love is your illusion, this love is your illusion Take me to a place with real-life love I need a break from this broken-down fantasy Show me a place I can realize love, not your illusion   It feels like the fairy tale is over, I really wanted these pages to begin With ""Once upon a time"" like all those lullabies I should have known better, I'll admit it, I thought when I let you in You were my shining knight from all those stories   This love is your illusion, this love is your illusion Take me to a place with real-life love I need a break from this broken-down fantasy Show me a place I can realize love, not your illusion"
/songs/709053,Zedd,I Want You to Know,https://genius.com/Zedd-i-want-you-to-know-lyrics,http://api.genius.com/songs/709053,True Colors,2015-02-23,"[Click here to read how Zedd produced ""I Want You To Know""]   I want you to know that it's our time You and me bleed the same light I want you to know that I'm all yours You and me run the same course   I'm slippin' down a chain reaction And here I go, here I go, here I go, go And once again, I'm yours in fractions It takes me down, pulls me down, pulls me down low   Honey, it's rainin' tonight But storms always have an eye, have an eye Tell me your cover tonight Or tell me lies, tell me lies, lies, lies...   I want you to know that it's our time You and me bleed the same light I want you to know that I'm all yours You and me, we're the same force I want you to know that it's our time You and me bleed the same light I want you to know that I'm all yours You and me run the same course   (I want you) (I want you) I want you to know that it's our time You and me bleed the same light   I'm better under your reflection But did you know, did you know, did you know, know That's anybody else that's met ya It's all the same, all the same, all the same glow   Honey, it's rainin' tonight But storms always have an eye, have an eye Tell me your cover tonight Or tell me lies, tell me lies, lies, lies...   I want you to know that it's our time You and me bleed the same light I want you to know that I'm all yours You and me, we're the same force I want you to know that it's our time You and me bleed the same light I want you to know that I'm all yours You and me run the same course   (Course, course, course, course) (Course, course, course, course) You and me run the same course (I want you) (I want you)   I want you to know that it's our time You and me bleed the same light I want you to know that I'm all yours You and me run the same course"
/songs/2467174,Zedd,I Want You To Know (Low-E Alter Egosz Bootleg),https://genius.com/Zedd-i-want-you-to-know-low-e-alter-egosz-bootleg-lyrics,http://api.genius.com/songs/2467174,None,2016-05-04," I want you to know that it's our time You and me bleed the same light I want you to know that I'm all yours You and me run the same course   I'm slipping down a chain reaction And here I go, here I go, here I go, go And once again, I'm yours in fractions It takes me down, pulls me down, pulls me down low   Honey, it's raining tonight But storms always have an eye, have an eye Tell me your cover tonight Or tell me lies, tell me lies, lies, lies   I want you to know that it's our time You and me bleed the same light I want you to know that I'm all yours You and me, we're the same force I want you to know that it's our time You and me bleed the same light I want you to know that I'm all yours You and me run the same course  You and me run the same course You and me run the same course"
/songs/92113,Zedd,Lost At Sea,https://genius.com/Zedd-lost-at-sea-lyrics,http://api.genius.com/songs/92113,Clarity,2011-10-04, I was a boat drifting out into the sea I had nothing but pieces of thoughts of the hope That you would see me I was a stone's throw away from land But thousands and thousands of miles away From reaching your hand   The waves they crashed upon The rocks that you were trying to step along And in my head I heard them play a song for you and me The waves they crashed upon The rocks that you were trying to step along And in my head I heard them play a song for you and me   Let's get lost at sea Where they will never find us Got stars at night to guide us Get lost at sea Where they will never find us Got stars at night to guide us Yeah    I was a boat drifting out into the sea I had nothing but pieces of thoughts of the hope That you would see me I was a stone's throw away from land But thousands and thousands of miles away From reaching your hand   The waves they crashed upon The rocks that you were trying to step along And in my head I heard them play a song for you and me The waves they crashed upon The rocks that you were trying to step along And in my head I heard them play a song for you and me   Let's get lost at sea Where they will never find us Got stars at night to guide us Lost at sea Where they will never find us Got stars at night to guide us Yeah
