api_path,primary_artist,title,url,song_endpoint,album,release_date,lyrics
/songs/55104,The-Dream,1977,https://genius.com/The-dream-1977-lyrics,http://api.genius.com/songs/55104,Terius Nash: 1977,2011-08-31," No matter how many things I have No one will ever love me your way No matter what love invades my space One thing's for sure, you won't be replaced   If you can't see the tears running down my eyes I guess I've gotta make the song cry If you can't see the tears running down my eyes Shit, I guess I've got to make the song cry   It hurts me just to see your name And that tattoo runs right through my veins My sister misses you the same And it hurts me cause I know she just can't say And what I would give to see your face (yeah) Wherever you are I pray you're safe (yeah) Forgive me for my selfish ways (yeah) For I know that you're better off these days (yeah)   Baby I miss you, every time it rains And no matter how bright the sun may shine It never dries away the pain Singin' ohhh ohhh. Ohhh ohhh Singin' ohhh ohhh. Ohhh ohhh   And you're written all over me So much so, I can't believe Your grandchildren are a sight to see Every day they're more of you, and less of me And what a cliche I know you hear No fear, I know you're near And no matter how many things I have No one will ever love me your way No matter what love invades my space One thing's for sure, you won't be replaced   Baby I miss you, every time it rains And no matter how bright the sun may shine It will never dry away this pain And I'm singin' ohhh ohhh. Ohhh ohhh And I'm singin' ohhh ohhh. Ohhh ohhh   If you can't see the tears running down my eyes I guess I've got to make the song cry If you can't see the tears running down my eyes Shit, I guess I've got to make the song cry   Mama I miss you, every time it rains No matter how bright the sun may shine It will never dry away this pain And I'm singin' ohhh ohhhh. Ohhhhh ohhhh And I'm singin' ohhh ohhhh. Ohhhhh ohhhh And I'm singin' ohhh ohhhh. Ohhhhh ohhhh"
/songs/111362,The-Dream,1977 (Official Lyrics),https://genius.com/The-dream-1977-official-lyrics-lyrics,http://api.genius.com/songs/111362,None,2017-04-26,"No matter how many things I have No one will ever love me your way No matter what love invades my space One thing's for sure, you won't be replaced  If you can't see the tears running down my eyes I guess I've got to make this song cry If you can't see the tears running down my eyes I guess I've got to make this song cry It hurts me just to see your name And that tattoo runs right through my veins My sister misses you the same And it hurts me cause I know she just can't say And what I would give to see your face Wherever you are, I pray you're safe Forgive me for my selfish ways For I know that you're better off these days  Baby I miss you every time it rains And no matter how bright the sun may shine It never dries away the pain Singing ooh oh ooh oh Singing ooh oh ooh oh  And you're written all over me So much so I can't believe Your grandchildren are a sight to see Everyday they're more of you and less of me And what a cliche, I know you're here No fair, I know you're near  No matter how many things I have No one will ever love me your way No matter what love invades my space One thing's for sure, you won't be replaced  Baby I miss you every time it rains And no matter how bright the sun may shine It will never dry away this pain And I'm singing ooh oh ooh oh And I'm singing ooh oh ooh oh  If you can't see the tears running down my eyes I guess I've got to make this song cry If you can't see the tears running down my eyes I guess I've got to make this song cry  Mama I miss you, every time it rains No matter how bright the sun may shine It will never dry away this pain And I'm singing ooh oh And I'm singing ooh oh And I'm singing ooh oh And I'm singing ooh oh"
/songs/2455415,The-Dream,90's Love,https://genius.com/The-dream-90s-love-lyrics,http://api.genius.com/songs/2455415,None,2017-04-26," Contra, Contra   Girl, come and make love to your nigga Feel that touch from your nigga Held by your nigga If you care for a nigga  Instagram pics of ass all day But that ain't love We ain't trending They'll never see us on the blogs Baby, that ain't us What we got is that down-for-a-nigga Get-clipped-do-a-year-still-around-for-a-nigga shit We ain't gotta chase love Baby, let it chase us   So get on over here Let me lay under that soft body Can't wait to lay into that When I'm on top of that soft body Always missing that Don't mind kissing that soft body You everywhere with that I'm everywhere in that soft body   Now, let me body this, let me body this I'ma body this, I'ma body this Baby, let me body this, let me body this I'm about to body this, let me body this   So come and fuck with a nigga Shawty, come and put your trust in a real nigga Bring your little body over here, baby, baby, baby, come on Ain't no lying in my songs I know a G when I see one You know a G when you see one Sip-sippin' on that Seagram's Straight ridin' 'round this bitch with this young phenom, ?? We got that 90s love That thing that make your girls hate us Make niggas look at us in disgust But still they wonder and have to discuss Two minutes and forty seconds in My lover, my mothafuckin' friend Look at what you made me do Extended verse two, and missed the beat section for you   So get on over here Let me lay under that soft body Can't wait to lay into that When I'm on top of that soft body Always missing that Don't mind kissing that soft body You everywhere with that I'm everywhere in that soft body   Now, let me body this, let me body this I'ma body this, I'ma body this Baby, let me body this, let me body this I'm about to body this, let me body this"
/songs/2535,The-Dream,Abyss,https://genius.com/The-dream-abyss-lyrics,http://api.genius.com/songs/2535,Love King,2010-06-29," The cause of you, because of you Even though I've said we're through It's all because of you, Nikki   She told me she would always be there And I believed her, believed her This girl was no good for me She had so many secrets, secrets...yeah Even though she wasn't my main girl I was still committed It was me and you You said you wouldn't tell But you saved my voicemails But I always knew   So now cry 'till you drown your face And bitch I give a damn how harsh this may seem I'm here to put your heart in its place Chained up in the bottom of the lake   Now let the water fall (abyss) Now let the water fall (abyss) Now let the water fall (abyss) Now let the water fall (abyss) Now let the water fall (abyss) Now let the water fall (abyss) Now let the water fall (abyss) Now let the water fall (abyss)   I was the innocent bystander She had etiquette, she had good manners Pretty little thing, great little body Never in magazines, never at after parties And I could sense it then, but it didn't matter As long as me and you were together Thought it was better than that I'll never let you back to me Tell your boy at US Weekly I sent your photos to TMZ  So now cry 'till you drown your face And bitch I give a damn how harsh this may seem I'm here to put your heart in it's place Chained up at the bottom of the lake   Now let the water fall (abyss) Now let the water fall (abyss) Now let the water fall (abyss) Now let the water fall (abyss) Now let the water fall (abyss) Now let the water fall (abyss) Now let the water fall (abyss) Now let the water fall (abyss)   The sun will come and help dry the water away But you're in the abyss, my lady, and you won't see another day   So now cry 'till you drown your face And bitch I give a damn how harsh this may seem I'm here to put your heart in it's place Chained up at the bottom of the lake   Now let the water fall (abyss) Now let the water fall (abyss) Now let the water fall (abyss) Now let the water fall (abyss) Now let the water fall (abyss) Now let the water fall (abyss) Now let the water fall (abyss) Now let the water fall (abyss)   Oh yeah, baby Oh yeah, baby Oh yeah, baby You won't see me Oh yeah, no no, no no, no no The sun will come and help dry the water away But you're in the abyss, my lady, and you won't see another day The sun will come and help dry the water away But you're in the abyss, my lady, and you won't see another day"
/songs/2401428,The-Dream,A Change Is Gonna Come,https://genius.com/The-dream-a-change-is-gonna-come-lyrics,http://api.genius.com/songs/2401428,IAMSAM,None," I was born by the river In a little tent And just like that river I've been running Ever since   It's been a long time coming But I know a change is gonna come, oh yes it will   It's been too hard living But I'm afraid to die Cause I don't know what's up there Beyond the sky   It's been a long time coming But I know a change is gonna come, oh yes it will   I go to the movie And I go downtown Somebody keep telling me don't hang around   It's been a long time coming But I know a change is gonna come, oh yes it will   Then I go to my brother And I say brother help me please But he winds up knockin' me Back down on my knees There been times when I thought I couldn't last for long But now I think I'm able to carry on   It's been a long time coming But I know a change is gonna come, oh yes it will"
/songs/97784,The-Dream,AK47,https://genius.com/The-dream-ak47-lyrics,http://api.genius.com/songs/97784,Terius Nash: 1977 (2012 Version),2012-12-18," Westside in this motherfucker (die motherfucker die!) Cause it's Westside in this motherfucker! (yeah nigga, yeah, yeah)   You didn't ever give a fuck, now I don't really give a fuck You and your new nigga in that black truck I can't believe you tried to roll up on me like that Hearts like a black mask, you don't give a fuck When you see me you go blast, you don't give a fuck So I when I see you, I'mma mash, I don't give a fuck And fuck your new nigga, y'all know where I'm at   My father told me, ""these bitches breed envy"" My momma told me, ""put some tint on it"" so they can't see me Instead of loving you, I'm out here finger fucking semis Made a pact never let another bitch near me Now I keep another nine on me (you don't know about) And keep a lookout on the door like I'm in a dope house And this tech will make a nigga back up I'm trigger happy on the next bitches trying to act up   Girl you remind me of my AK-47 'Chop, Chop', send the doc, to 211 Baby you hell, you used to feel like heaven (Man down) She gon' make sure I don't live to tell it Girl you remind me of my AK-47 'Chop, Chop', send the doc, 187 My daughter screamin' and 'pop', she still yellin' I'm tryna bust back homie, but this tech nine locked up on me My AK-AK-AK-uh (AK-AK-AK-uh-uh-uh-uh-uh-uh) My AK-AK-AK-uh (AK-AK-AK-uh-uh-uh-uh-uh-uh)   Get yo' money, gon' head shawty live it up And for a nigga that's half of me, give it up You gotta love it, had my heart up in rehab Peep back like 45 on yo' fuckin' ass Now I'm back waving .45s at your fucking ass Not literally speaking, but figuratively speaking Uh-oh look like you've seen a ghost On the Seventh Day He rose, Last Supper you motherfuckers   Girl you remind me of my AK-47 'Chop, Chop', send the doc, to 211 Baby you hell, you used to feel like heaven (Man down) She gon' make sure I don't live to tell it Girl you remind me of my AK-47 'Chop, Chop', send the doc, 187 My daughter screamin' and 'pop', she still yellin' I'm tryna bust back homie, but this tech nine locked up on me My AK-AK-AK-uh (AK-AK-AK-uh-uh-uh-uh-uh-uh) My AK-AK-AK-uh (AK-AK-AK-uh-uh-uh-uh-uh-uh)   She don't give a fuck, shootin' in the crowd Don't care who she hurt, actin' all loud Inadvertently parties disperse She's killed us all, innocent ones fall She stands tall, she shot us down Lost it all, look at her now Old soul is like crabs in a barrel Pull this through the barrel   Girl you remind me of my AK-47 'Chop, Chop', send the doc, to 211 Baby you hell, you used to feel like heaven (Man down) She gon' make sure I don't live to tell it Girl you remind me of my AK-47 'Chop, Chop', send the doc, 187 My daughter screamin' and 'pop', she still yellin' I'm tryna bust back homie, but this tech nine locked up on me My AK-AK-AK-uh (AK-AK-AK-uh-uh-uh-uh-uh-uh) My AK-AK-AK-uh (AK-AK-AK-uh-uh-uh-uh-uh-uh)   And I miss you like being broke, no joke On my momma, this is the realest thing I ever spoke My AK-AK-AK-uh (AK-AK-AK-uh-uh-uh-uh-uh-uh) Yeah And I miss you like paying taxes And you ain't foolin nobody Damn shawty why you actin' so dramatic?"
/songs/75480,The-Dream,All Black Everything,https://genius.com/The-dream-all-black-everything-lyrics,http://api.genius.com/songs/75480,Love King,2010-06-29,"Black everything, black, black everything Black everything, black, black everything Black everything, black, black everything Black everything, black, black everything Love you babe, I just want to love you babe Let me love you babe, I just want to love you babe Love you babe, I just want to love you babe Let me love you babe, I just want to love you babe Get up in this bed, come up out them clothes Black Fendi curtains, black marble on the floor Baby let me watch it, give me a show Black lingerie, shorty get it on Now come up out that black hoody Out them black designer jeans Out them black shades Come get it babe, come get it babe Now come up out my black Jesus piece My black Audemars It's black everywhere we are And you're the star Black everything, black, black everything Not just the car, but everywhere we are And you're the star Black everything, black, black everything Not just the car, but everywhere we are You know I miss it, girl you know I love it Know I want to kiss it, I can't wait to hug it Do you in a Maybach, black suede, black fur Lose you in the back seat, black diamonds, black purse And we so hood certified rock stars Keep it looking good, put it on my black card And put a run in your black style heels Sweat the eyeliner out, apply it again Can't wait to get that black skirt up in my crib Can't wait to get you out them Givenchy heels Ace of Spades sipping, this is how we live, yeah Now come up out that black hoody Out them black designer jeans Out them black shades Come get it babe, come get it babe Now come up out my black Jesus piece My black Audemars It's black everywhere we are And you're the star Black everything, black, black everything Not just the car, but everywhere we are And you're the star Black everything, black, black everything Not just the car, but everywhere we are Jet black hair falling down her back All up on her Baby Phat like trains on a track I'mma hit it like crack, I'm fiending She on the black roller coaster straight screaming Lip syncing on my microphone, still got my fitted on Sidenote, you should download this as your ringtone Back to the black linen, h-h-h-hell no Shorty I ain't finished, y-y-y-yeah, y'all Riding it like a black Ducati, baby She in my ear like boy you got me, baby We Ace of Spades sipping, this is how we live, yeah Now come up out that black hoody Out them black designer jeans Out them black shades Come get it babe, come get it babe Now come up out my black Jesus piece My black Audemars It's black everywhere we are And you're the star Not just a car, but everywhere we are And you're the star"
/songs/748351,The-Dream,All I Need,https://genius.com/The-dream-all-i-need-lyrics,http://api.genius.com/songs/748351,Crown EP,2015-04-14," Let's go, leave everything and let's go To a place where no one else can know Let's run, let's hide In a place that none will ever find   All I need is you baby, you All I need is you baby You're the only one I need All I need is you baby, you You're all I ever need  All I need is you baby All I ever need is you baby All I need is you baby All I ever need is you baby All I need is you baby All I ever need is you baby All I need is you baby All I ever need is you baby All I need is you baby All I ever need is you baby You and that infinte amount of love   Let's kill to be alive Make sure there's nothin in between us, both you and I Let's fly, up until the moment we die Live in a mansion where there aren't any rooms to be shy   Majestic confessions, the heart of the restless When I look in to your eyes Your flawless complexion just impacting my affection Without you I'd die   All I need is you baby, you All I need is you baby, you All I need is you baby, you All I need is you baby You baby, you baby You and your infinte amount of love"
/songs/1264476,The-Dream,Answer,https://genius.com/The-dream-answer-lyrics,http://api.genius.com/songs/1264476,None,2017-04-26,人は裹切るコトを知ってる 偽善者だらけり時代の中 生きてる  それでもヒトは誰かを求め 支え合う喜び感じて・・・歩いている  涙して傷ついたって 皆 一人では生きられない  壊れてしまいそうで 離れてしまいそうで 「強い」と言う聞かせて 言葉で自分を隠してた 凍えそうな手には “温もり”が重なる そして生まれ変わる・・・  人は信じるコトを恐れて 悲しみから逃げ出そうとする 生き物  それでもヒトは誰かを愛し “あなた”という刺激を欲しがる・・・寂しいから？  抱き合って 触れていたくて 皆“コドク”にはなりたくない  壊れてしまうそうで 離れてしまいそうで 嘘なら要らないから “真実” それが知りたいだけ もっと解り合って ずっと傍にいたい これが僕の答え・・・  抱き合って 触れていたくて 皆 “コドク” にはなりたくない  壊れてしまうそうで 離れてしまいそうで 嘘なら要らないから “真実”それが知りたいだけ・・・ いつかは解り合える 確かめ合える きっと 「いつでもココに居る」とあなたは答えてくれたから 僕にも少しずつ 信じられるものが 見え始めているよ
/songs/4159310,The-Dream,Back In Love,https://genius.com/The-dream-back-in-love-lyrics,http://api.genius.com/songs/4159310,"Ménage à Trois: Sextape Vol. 1, 2, 3",2018-12-21," I miss that body in the hallway I used to meet that body in the foyer If you were right here, we'd have to skip the foreplay It's been some time Girl, it feels like been like we've been on consignment Had to turn them lights off so we could find it Now you know how love is all about the timing and colorblind I was mad at you, you was mad at me C'est la vie, arrivederci Still, all I loved was you Still, I had no clue that you would leave But I'm glad we're back to unbreak things and that's overdue   Back in love, back in love, back in love with you And now we're making love, making love like we used to do I took some time out, I took some time off Just to think things through Oh, now I'm back in love, back in love Back in love with you   I'ma lay right here in you all day And I'ma make sure that you lean sideways And I'ma bury all of those bad times we used to have, ooh And my niggas weren't with it And your friends wasn't fuckin' with it, either Ask how could I leave ya ""Boy, you know you need her,"" I just need to please her Let me roll my sleeves up Tell them bitches, ""Ease up,"" because I'm   Back in love, back in love, back in love with you And now we're making love, making love like we used to do I took some time out, I took some time off Just to think things through But now I'm back in love, back in love, back in love with you Ooh baby, yeah   Ooh whoa, ooh whoa Sometimes things don't go how they should But if it's meant, they'll come back Ooh whoa, ooh whoa Every day ain't the same You'll have to dream love like that Ooh whoa, ooh whoa You just need that freakin' for a weekend Then we'll step back like that Ooh whoa, ooh whoa You just need that freakin' for a weekend, baby Then we're right back   Back in love, back in love, back in love with you And now we're making love, making love like we used to do I took some time out, I took some time off Just to think things through Oh, now I'm back in love, back in love, back in love with you   Ooh baby, yeah, yeah, yeah, yeah Ooh baby, yeah, yeah, oh yeah Ooh baby, ooh baby, yeah Back in love, back in love"
